symbol,ensembl_gene_id
PNPLA2,ENSG00000177666.16
NENF,ENSG00000117691.9
VCP,ENSG00000165280.15
LSM7,ENSG00000130332.14
LGR4,ENSG00000205213.13
VCAN,ENSG00000038427.15
WAC,ENSG00000095787.21
KPNB1,ENSG00000108424.9
CDC42SE1,ENSG00000197622.12
TLK1,ENSG00000198586.13
EMILIN1,ENSG00000138080.13
ANAPC16,ENSG00000166295.8
SSU72,ENSG00000160075.11
RELA,ENSG00000173039.18
C4orf48,ENSG00000243449.6
GLO1,ENSG00000124767.6
LRP1,ENSG00000123384.13
ITGA3,ENSG00000005884.17
RNPEP,ENSG00000176393.10
LRRC59,ENSG00000108829.9
UGDH,ENSG00000109814.11
ADAR,ENSG00000160710.15
ITPR3,ENSG00000096433.10
LRATD1,
LTBR,ENSG00000111321.10
NAA20,ENSG00000173418.11
COPB2,ENSG00000184432.9
ABHD12,ENSG00000100997.18
XPOT,ENSG00000184575.11
DDB1,ENSG00000167986.13
CIAO2B,
CTDSP1,ENSG00000144579.7
SMIM4,ENSG00000168273.7
RTF2,
MMADHC,ENSG00000168288.12
TNFRSF21,ENSG00000146072.6
PTGES2,ENSG00000148334.14
NFIC,ENSG00000141905.17
MTCH1,ENSG00000137409.19
NPTN,ENSG00000156642.16
RANBP2,ENSG00000153201.15
FAM210B,ENSG00000124098.9
HNRNPD,ENSG00000138668.18
NFE2L1,ENSG00000082641.15
EIF3D,ENSG00000100353.17
CDC123,ENSG00000151465.13
PSMD2,ENSG00000175166.16
CD2AP,ENSG00000198087.7
SF3B6,ENSG00000115128.6
RCN2,ENSG00000117906.13
STUB1,ENSG00000103266.10
CYSTM1,ENSG00000120306.9
TLN1,ENSG00000137076.20
MYO10,ENSG00000145555.14
H3F3B,ENSG00000132475.10
PRPF6,ENSG00000101161.7
RNPS1,ENSG00000205937.11
PSME2,ENSG00000100911.15
COX17,ENSG00000138495.6
TRPM4,ENSG00000130529.15
INTS11,ENSG00000127054.20
SSBP3,ENSG00000157216.15
LTBP4,ENSG00000090006.17
PDZK1IP1,ENSG00000162366.7
PSMB5,ENSG00000100804.18
H2AFJ,ENSG00000246705.4
DCTPP1,ENSG00000179958.8
BUB3,ENSG00000154473.17
RNF145,ENSG00000145860.11
TMX2,ENSG00000213593.9
SLC38A10,ENSG00000157637.12
PTTG1IP,ENSG00000183255.11
VIL1,ENSG00000127831.10
DENR,ENSG00000139726.10
BECN1,ENSG00000126581.12
FASN,ENSG00000169710.8
GGH,ENSG00000137563.11
CKAP4,ENSG00000136026.13
UBR5,ENSG00000104517.12
PDLIM5,ENSG00000163110.14
NFE2L2,ENSG00000116044.15
MFGE8,ENSG00000140545.14
CAMK2N1,ENSG00000162545.5
LSM5,ENSG00000106355.9
RNF43,ENSG00000108375.12
KCMF1,ENSG00000176407.17
RNF187,ENSG00000168159.11
BUD23,
EID1,ENSG00000255302.4
PCBD1,ENSG00000166228.8
ATIC,ENSG00000138363.14
TMED10,ENSG00000170348.8
TBL1XR1,ENSG00000177565.16
CAPG,ENSG00000042493.15
PSMB8,ENSG00000204264.8
CBLC,ENSG00000142273.10
ECH1,ENSG00000104823.8
REX1BD,
CDC16,ENSG00000130177.14
VAMP8,ENSG00000118640.10
METAP2,ENSG00000111142.13
EHF,ENSG00000135373.12
SNHG32,
SUMF2,ENSG00000129103.17
MCM3,ENSG00000112118.18
CORO1C,ENSG00000110880.10
NSA2,ENSG00000164346.9
ECHS1,ENSG00000127884.4
NSMF,ENSG00000165802.21
SERP1,ENSG00000120742.10
FAM3D,ENSG00000198643.6
MAP2K3,ENSG00000034152.18
CDC42SE2,ENSG00000158985.13
UBTF,ENSG00000108312.14
CTDNEP1,ENSG00000175826.11
NDUFA7,ENSG00000267855.5
ACO2,ENSG00000100412.15
UBE2C,ENSG00000175063.16
LITAF,ENSG00000189067.12
RUNX1,ENSG00000159216.18
IGFBP5,ENSG00000115461.4
RASA2,ENSG00000155903.11
PABPC4,ENSG00000090621.13
NCOA7,ENSG00000111912.19
CHTOP,ENSG00000160679.12
CTNNA1,ENSG00000044115.20
RAB2A,ENSG00000104388.14
COX14,ENSG00000178449.8
RALA,ENSG00000006451.7
MKRN1,ENSG00000133606.10
MACROD1,ENSG00000133315.10
STAU2,ENSG00000040341.17
SZRD1,ENSG00000055070.16
IER2,ENSG00000160888.6
HSPH1,ENSG00000120694.19
HIST1H2AI,ENSG00000196747.4
SHMT2,ENSG00000182199.10
NARS,ENSG00000134440.11
INAVA,
ASAH1,ENSG00000104763.18
RBM12,ENSG00000244462.7
CRELD2,ENSG00000184164.14
OTUB1,ENSG00000167770.11
DHX15,ENSG00000109606.12
RNF11,ENSG00000123091.4
BAG6,ENSG00000204463.12
SULF2,ENSG00000196562.14
CEBPZ,ENSG00000115816.14
FOXP4,ENSG00000137166.14
PNISR,ENSG00000132424.14
ICA1,ENSG00000003147.17
SDF2L1,ENSG00000128228.4
NANS,ENSG00000095380.10
C7orf50,ENSG00000146540.14
PCOLCE,ENSG00000106333.12
CERS2,ENSG00000143418.19
CTNNBIP1,ENSG00000178585.14
ESD,ENSG00000139684.13
SEC13,ENSG00000157020.17
COLGALT1,ENSG00000130309.10
TMBIM1,ENSG00000135926.14
S100A4,ENSG00000196154.11
PGRMC1,ENSG00000101856.9
DCAF7,ENSG00000136485.14
MVP,ENSG00000013364.18
ERBB2,ENSG00000141736.13
HSPA9,ENSG00000113013.12
FDFT1,ENSG00000079459.12
ATP5PB,
M6PR,ENSG00000003056.7
ABLIM1,ENSG00000099204.18
STAU1,ENSG00000124214.19
YY1,ENSG00000100811.12
SLC31A1,ENSG00000136868.10
PTPN12,ENSG00000127947.15
CD55,ENSG00000196352.14
NOP58,ENSG00000055044.10
FOXP1,ENSG00000114861.18
CLTA,ENSG00000122705.16
FIS1,ENSG00000214253.8
FHL2,ENSG00000115641.18
CNN3,ENSG00000117519.15
INHBA,ENSG00000122641.10
EIF2B5,ENSG00000145191.12
MED25,ENSG00000104973.16
AKT1,ENSG00000142208.15
BRI3BP,ENSG00000184992.10
ILF2,ENSG00000143621.16
COPS6,ENSG00000168090.9
LSM1,ENSG00000175324.9
GNAQ,ENSG00000156052.10
EPHA2,ENSG00000142627.12
TXN2,ENSG00000100348.9
TAF15,ENSG00000270647.5
TMX1,ENSG00000139921.12
CSNK2B,ENSG00000204435.13
EIF3L,ENSG00000100129.17
FARP1,ENSG00000152767.16
MAPK1IP1L,ENSG00000168175.14
HBS1L,ENSG00000112339.14
TP53I11,ENSG00000175274.18
USH1C,ENSG00000006611.15
BCL7C,ENSG00000099385.11
DDAH1,ENSG00000153904.18
GOT2,ENSG00000125166.12
SRRT,ENSG00000087087.18
RAB13,ENSG00000143545.8
ALG5,ENSG00000120697.8
PUF60,ENSG00000179950.13
CDCP1,ENSG00000163814.7
SLC37A1,ENSG00000160190.13
MINK1,ENSG00000141503.15
PREP,ENSG00000085377.13
DDX24,ENSG00000089737.16
C15orf48,ENSG00000166920.12
SPINT1,ENSG00000166145.14
MPG,ENSG00000103152.11
HGS,ENSG00000185359.12
EPHB4,ENSG00000196411.9
ITGB5,ENSG00000082781.11
ANXA3,ENSG00000138772.12
TNIP1,ENSG00000145901.14
ZMIZ2,ENSG00000122515.14
FKBP10,ENSG00000141756.18
WDR83OS,ENSG00000105583.9
LARP4B,ENSG00000107929.14
CALD1,ENSG00000122786.19
SDC1,ENSG00000115884.10
SLC1A5,ENSG00000105281.12
CDC42BPB,ENSG00000198752.10
TXNDC12,ENSG00000117862.11
POF1B,ENSG00000124429.17
RAB10,ENSG00000084733.10
KPNA2,ENSG00000182481.8
APEX1,ENSG00000100823.11
BTBD2,ENSG00000133243.8
NPDC1,ENSG00000107281.9
PPP1CA,ENSG00000172531.14
PYURF,ENSG00000145337.4
UBE2E3,ENSG00000170035.15
PGLS,ENSG00000130313.6
HLA-F,ENSG00000204642.13
CYTH2,ENSG00000105443.13
PIEZO1,ENSG00000103335.21
GSTO1,ENSG00000148834.12
IPO5,ENSG00000065150.18
TBRG4,ENSG00000136270.13
RABAC1,ENSG00000105404.10
GPA33,ENSG00000143167.11
BAZ1B,ENSG00000009954.10
CTHRC1,ENSG00000164932.12
TPD52L2,ENSG00000101150.17
NME4,ENSG00000103202.12
NCBP2,ENSG00000114503.10
ZFP91,ENSG00000186660.14
SMTN,ENSG00000183963.18
PPP1R9B,ENSG00000108819.10
POLDIP2,ENSG00000004142.11
LAMC2,ENSG00000058085.14
C3,ENSG00000125730.16
CNPY3,ENSG00000137161.16
AGRN,ENSG00000188157.14
RNH1,ENSG00000023191.16
RAB7A,ENSG00000075785.12
GABARAPL2,ENSG00000034713.7
CLN3,ENSG00000188603.18
EFNA1,ENSG00000169242.11
ZFAND5,ENSG00000107372.12
RERE,ENSG00000142599.17
SEC61G,ENSG00000132432.13
GALNT3,ENSG00000115339.13
RNF149,ENSG00000163162.8
VPS29,ENSG00000111237.18
ALDH1B1,ENSG00000137124.7
GNAI3,ENSG00000065135.10
MTPN,ENSG00000105887.10
CBFB,ENSG00000067955.13
COX16,ENSG00000133983.14
PRSS23,ENSG00000150687.11
ACIN1,ENSG00000100813.14
DIDO1,ENSG00000101191.16
LAMA4,ENSG00000112769.18
NR4A1,ENSG00000123358.19
SLC35C2,ENSG00000080189.14
ILRUN,
ATRAID,ENSG00000138085.16
AKT2,ENSG00000105221.16
SOX9,ENSG00000125398.5
DDX56,ENSG00000136271.10
BOP1,ENSG00000261236.7
DUT,ENSG00000128951.13
SSR1,ENSG00000124783.12
RAP1A,ENSG00000116473.14
EEF1D,ENSG00000104529.17
NDUFS2,ENSG00000158864.12
OAF,ENSG00000184232.8
PARP4,ENSG00000102699.5
SLC2A1,ENSG00000117394.20
ADAM9,ENSG00000168615.11
WDR43,ENSG00000163811.11
ARF5,ENSG00000004059.10
ERGIC1,ENSG00000113719.15
EGLN2,ENSG00000269858.5
PDXK,ENSG00000160209.18
MYLK,ENSG00000065534.18
DNAJB1,ENSG00000132002.7
TMEM147,ENSG00000105677.11
PON2,ENSG00000105854.12
EGR1,ENSG00000120738.7
SMARCD2,ENSG00000108604.15
LSM12,ENSG00000161654.9
ATP6V0D1,ENSG00000159720.11
ANKH,ENSG00000154122.12
COX7B,ENSG00000131174.4
CDH17,ENSG00000079112.9
MOGS,ENSG00000115275.11
PILRB,ENSG00000121716.20
C14orf119,ENSG00000179933.5
ZMPSTE24,ENSG00000084073.8
PDGFRB,ENSG00000113721.13
WARS,ENSG00000140105.17
MFF,ENSG00000168958.19
TIMP2,ENSG00000035862.12
PES1,ENSG00000100029.17
IGBP1,ENSG00000089289.15
GATD1,
MIEN1,ENSG00000141741.11
RSRP1,ENSG00000117616.17
DUS1L,ENSG00000169718.17
SLC44A2,ENSG00000129353.14
OCIAD2,ENSG00000145247.11
CNPY2,ENSG00000257727.5
DR1,ENSG00000117505.12
NDUFAF2,ENSG00000164182.10
RHOT2,ENSG00000140983.13
IDH2,ENSG00000182054.9
HEPH,ENSG00000089472.16
PPP1R15B,ENSG00000158615.8
CAP1,ENSG00000131236.16
ANP32A,ENSG00000140350.15
ESYT2,ENSG00000117868.15
RAB1A,ENSG00000138069.16
ALYREF,ENSG00000183684.7
NDFIP1,ENSG00000131507.10
ETFA,ENSG00000140374.15
PGGHG,ENSG00000142102.15
TMEM214,ENSG00000119777.18
ATP6V1F,ENSG00000128524.4
FAM3A,ENSG00000071889.16
SOD3,ENSG00000109610.5
CTSA,ENSG00000064601.16
SLC16A1,ENSG00000155380.11
COPA,ENSG00000122218.14
DNAJC15,ENSG00000120675.5
PPP6R2,ENSG00000100239.15
TMEM219,ENSG00000149932.16
LSM8,ENSG00000128534.7
GTF2F2,ENSG00000188342.11
ZKSCAN1,ENSG00000106261.16
GMDS,ENSG00000112699.10
RAB14,ENSG00000119396.10
DCTD,ENSG00000129187.14
PITPNB,ENSG00000180957.17
C12orf75,ENSG00000235162.8
GNPTG,ENSG00000090581.9
TFG,ENSG00000114354.13
MRFAP1L1,ENSG00000178988.10
DPP9,ENSG00000142002.16
TM9SF2,ENSG00000125304.8
PLD3,ENSG00000105223.19
UBE2R2,ENSG00000107341.4
ANAPC13,ENSG00000129055.12
CARS2,ENSG00000134905.16
REPIN1,ENSG00000214022.11
SEC61A1,ENSG00000058262.9
FLOT2,ENSG00000132589.15
SPIN1,ENSG00000106723.16
EHBP1L1,ENSG00000173442.12
BRD4,ENSG00000141867.17
C1S,ENSG00000182326.14
VPS28,ENSG00000160948.13
LSM2,ENSG00000204392.10
PPP4R3A,ENSG00000100796.17
KXD1,ENSG00000105700.10
U2AF2,ENSG00000063244.12
PLCB3,ENSG00000149782.11
PSMB10,ENSG00000205220.11
CMTM6,ENSG00000091317.7
IGFBP3,ENSG00000146674.14
IFITM1,ENSG00000185885.15
NAMPT,ENSG00000105835.11
THBS2,ENSG00000186340.14
STT3B,ENSG00000163527.9
CXCL8,ENSG00000169429.10
CDX2,ENSG00000165556.9
EIF2A,ENSG00000144895.11
SIGMAR1,ENSG00000147955.16
CREB3L1,ENSG00000157613.10
BLCAP,ENSG00000166619.12
DDOST,ENSG00000244038.9
EBNA1BP2,ENSG00000117395.12
CEBPD,ENSG00000221869.4
COL12A1,ENSG00000111799.20
TRIOBP,ENSG00000100106.19
NELFCD,ENSG00000101158.13
CCNB1IP1,ENSG00000100814.17
CLCN3,ENSG00000109572.13
TSC22D1,ENSG00000102804.14
TGFBR2,ENSG00000163513.17
CLN6,ENSG00000128973.12
CDK6,ENSG00000105810.9
GMPS,ENSG00000163655.15
LZIC,ENSG00000162441.11
BET1L,ENSG00000177951.17
GOLGA4,ENSG00000144674.16
RABGGTB,ENSG00000137955.15
ADIPOR1,ENSG00000159346.12
PPARG,ENSG00000132170.19
PDZD8,ENSG00000165650.11
PHLDA1,ENSG00000139289.13
HIST1H3I,ENSG00000275379.1
HUWE1,ENSG00000086758.15
BIN1,ENSG00000136717.14
WSB2,ENSG00000176871.8
NUMA1,ENSG00000137497.17
SF3B5,ENSG00000169976.6
DUSP23,ENSG00000158716.8
CENPB,ENSG00000125817.7
MT1E,ENSG00000169715.14
GCN1,ENSG00000089154.10
DAP,ENSG00000112977.15
ECI1,ENSG00000167969.12
RRAS,ENSG00000126458.3
CCDC12,ENSG00000160799.11
DNAJA1,ENSG00000086061.15
ZC3H4,ENSG00000130749.9
HMG20B,ENSG00000064961.18
RNF10,ENSG00000022840.15
MDK,ENSG00000110492.15
TMEM189,ENSG00000240849.10
URI1,ENSG00000105176.17
SREBF2,ENSG00000198911.11
NAB1,ENSG00000138386.16
NDUFAF3,ENSG00000178057.14
CERCAM,ENSG00000167123.18
GTF3A,ENSG00000122034.14
GTPBP6,ENSG00000178605.13
GTPBP6,ENSG00000178605.13_PAR_Y
TYROBP,ENSG00000011600.11
STT3A,ENSG00000134910.12
E2F4,ENSG00000205250.8
ZDHHC3,ENSG00000163812.13
FUBP3,ENSG00000107164.15
SHKBP1,ENSG00000160410.14
TCF7L2,ENSG00000148737.16
FDPS,ENSG00000160752.14
PSMF1,ENSG00000125818.17
NDUFA9,ENSG00000139180.10
FKBP1A,ENSG00000088832.16
DDAH2,ENSG00000213722.8
MMP11,ENSG00000099953.9
LAMC1,ENSG00000135862.5
FAM136A,ENSG00000035141.7
STOML2,ENSG00000165283.15
TINAGL1,ENSG00000142910.15
SEPHS2,ENSG00000179918.18
TOB1,ENSG00000141232.4
GTF2IRD1,ENSG00000006704.10
DYNLL2,ENSG00000264364.2
CHURC1,ENSG00000258289.8
WDR6,ENSG00000178252.17
CELF1,ENSG00000149187.17
MGST1,ENSG00000008394.12
NCSTN,ENSG00000162736.15
ERP44,ENSG00000023318.7
UBE2A,ENSG00000077721.15
CLPTM1,ENSG00000104853.15
TUT7,
CCNC,ENSG00000112237.12
GNA11,ENSG00000088256.8
CRIM1,ENSG00000150938.9
PPP1CC,ENSG00000186298.11
IBTK,ENSG00000005700.14
SMDT1,ENSG00000183172.8
SKIL,ENSG00000136603.13
SNX5,ENSG00000089006.16
BABAM1,ENSG00000105393.15
UBP1,ENSG00000153560.11
VAT1,ENSG00000108828.15
PFKL,ENSG00000141959.16
SIGIRR,ENSG00000185187.12
PPP1CB,ENSG00000213639.9
HDAC2,ENSG00000196591.11
SPTLC2,ENSG00000100596.6
SELENBP1,ENSG00000143416.20
GABARAPL1,ENSG00000139112.10
TOMM6,ENSG00000214736.7
CPSF1,ENSG00000071894.16
DDX46,ENSG00000145833.15
PARL,ENSG00000175193.13
DAD1,ENSG00000129562.10
RARS,ENSG00000113643.8
YPEL5,ENSG00000119801.12
CEP170B,ENSG00000099814.15
GPR35,ENSG00000178623.11
CLTC,ENSG00000141367.11
ATL3,ENSG00000184743.12
FBLN1,ENSG00000077942.18
TMEM87B,ENSG00000153214.9
SPCS3,ENSG00000129128.12
FBP1,ENSG00000165140.9
C1QB,ENSG00000173369.15
CKB,ENSG00000166165.12
SUPT5H,ENSG00000196235.13
MAZ,ENSG00000103495.13
KIF5B,ENSG00000170759.10
BHLHE40,ENSG00000134107.4
QTRT1,ENSG00000213339.8
GRHPR,ENSG00000137106.17
LSM14A,ENSG00000257103.8
DLGAP4,ENSG00000080845.17
MSRB2,ENSG00000148450.12
NAPRT,ENSG00000147813.15
ANTXR1,ENSG00000169604.19
UBR4,ENSG00000127481.14
HDHD3,ENSG00000119431.9
GPS1,ENSG00000169727.12
CAMLG,ENSG00000164615.4
DDX54,ENSG00000123064.12
SUPT6H,ENSG00000109111.14
CMTM4,ENSG00000183723.12
CDC25B,ENSG00000101224.17
EIF1B,ENSG00000114784.3
DHCR24,ENSG00000116133.11
SLC35A4,ENSG00000176087.14
FAM83H,ENSG00000180921.6
CSTF3,ENSG00000176102.11
ENTPD6,ENSG00000197586.12
TMC5,ENSG00000103534.16
MBTPS1,ENSG00000140943.16
NTMT1,ENSG00000148335.14
PRMT2,ENSG00000160310.17
MYB,ENSG00000118513.18
TIMM8B,ENSG00000150779.11
INSIG1,ENSG00000186480.12
CSNK2A2,ENSG00000070770.8
SNRPB,ENSG00000125835.18
OST4,ENSG00000228474.5
SFPQ,ENSG00000116560.10
FAM102A,ENSG00000167106.11
SCRIB,ENSG00000180900.18
PPP1R11,ENSG00000204619.7
POLE3,ENSG00000148229.12
TM9SF4,ENSG00000101337.15
TMEM9,ENSG00000116857.16
AAMP,ENSG00000127837.9
EMP1,ENSG00000134531.9
STK11,ENSG00000118046.14
MFSD10,ENSG00000109736.14
CDKN1B,ENSG00000111276.10
NKTR,ENSG00000114857.17
RIC8A,ENSG00000177963.14
DDX1,ENSG00000079785.14
C8orf33,ENSG00000182307.12
ADGRE5,ENSG00000123146.19
ZDHHC9,ENSG00000188706.12
NDUFS4,ENSG00000164258.11
SLC4A2,ENSG00000164889.13
SPR,ENSG00000116096.5
NDUFAB1,ENSG00000004779.9
AK1,ENSG00000106992.17
MATR3,ENSG00000015479.18
SAPCD2,ENSG00000186193.8
PCID2,ENSG00000126226.21
C1orf198,ENSG00000119280.16
CALCOCO2,ENSG00000136436.14
PPP1R15A,ENSG00000087074.7
CHP1,ENSG00000187446.11
PAPOLA,ENSG00000090060.17
HIST1H4I,ENSG00000276180.1
KRTCAP3,ENSG00000157992.12
ORMDL3,ENSG00000172057.9
IRF9,ENSG00000213928.8
ACTR1B,ENSG00000115073.7
UBAC2,ENSG00000134882.15
EFTUD2,ENSG00000108883.12
GPAA1,ENSG00000197858.10
KLF6,ENSG00000067082.14
SERINC5,ENSG00000164300.16
YIPF4,ENSG00000119820.10
EMC4,ENSG00000128463.12
XPO6,ENSG00000169180.11
TXNIP,ENSG00000265972.5
IDH3G,ENSG00000067829.18
FNDC3B,ENSG00000075420.12
HSD17B10,ENSG00000072506.12
COMMD4,ENSG00000140365.15
HLA-DMA,ENSG00000204257.14
GTF2F1,ENSG00000125651.13
WDR26,ENSG00000162923.14
CTSK,ENSG00000143387.12
THRA,ENSG00000126351.12
CTSS,ENSG00000163131.10
MCRIP1,ENSG00000225663.7
CASP6,ENSG00000138794.9
SFRP4,ENSG00000106483.11
SNU13,ENSG00000100138.13
SLC25A10,ENSG00000183048.11
POM121,ENSG00000196313.11
CLDN1,ENSG00000163347.5
MTX2,ENSG00000128654.13
IWS1,ENSG00000163166.14
ADGRG1,ENSG00000205336.11
CDKN1A,ENSG00000124762.13
SCARB2,ENSG00000138760.9
C16orf58,ENSG00000140688.16
MAP3K20,ENSG00000091436.16
DNMT1,ENSG00000130816.14
TOP2A,ENSG00000131747.14
SLC40A1,ENSG00000138449.10
PFKP,ENSG00000067057.16
PRSS8,ENSG00000052344.15
DCTN1,ENSG00000204843.12
VPS25,ENSG00000131475.6
MLXIP,ENSG00000175727.13
PTDSS1,ENSG00000156471.12
TRIM27,ENSG00000204713.10
TMEM109,ENSG00000110108.9
MAX,ENSG00000125952.18
ASAP2,ENSG00000151693.9
SLC35B2,ENSG00000157593.18
SNRNP25,ENSG00000161981.10
LPCAT1,ENSG00000153395.9
R3HDM4,ENSG00000198858.9
CCDC124,ENSG00000007080.10
ZNF358,ENSG00000198816.6
ZFP36,ENSG00000128016.5
CYB5A,ENSG00000166347.18
HNRNPLL,ENSG00000143889.15
SORL1,ENSG00000137642.12
ZFR,ENSG00000056097.15
ARHGEF10L,ENSG00000074964.16
TPP1,ENSG00000166340.15
MAPKAPK5,ENSG00000089022.13
GPCPD1,ENSG00000125772.12
CALU,ENSG00000128595.16
VARS,ENSG00000204394.12
FARSA,ENSG00000179115.10
SCP2,ENSG00000116171.17
CNOT1,ENSG00000125107.17
PTPA,ENSG00000119383.19
NFKB2,ENSG00000077150.18
PLEKHG6,ENSG00000008323.15
PDHB,ENSG00000168291.12
ANKRD10,ENSG00000088448.14
EMD,ENSG00000102119.10
IFI30,ENSG00000216490.3
GOLGB1,ENSG00000173230.15
GDE1,ENSG00000006007.11
PSENEN,ENSG00000205155.7
CD46,ENSG00000117335.19
PPIF,ENSG00000108179.13
MUC12,ENSG00000205277.9
RNF5,ENSG00000204308.7
POLD4,ENSG00000175482.8
TRAF7,ENSG00000131653.12
TIMM17B,ENSG00000126768.12
YWHAH,ENSG00000128245.14
PHF19,ENSG00000119403.13
LPGAT1,ENSG00000123684.12
GDI1,ENSG00000203879.11
ALG11,ENSG00000253710.2
SRC,ENSG00000197122.11
ZNF664,ENSG00000179195.15
RBM15B,ENSG00000259956.1
PLXND1,ENSG00000004399.12
CPSF6,ENSG00000111605.16
ARRDC1,ENSG00000197070.13
LUC7L,ENSG00000007392.16
GAS6,ENSG00000183087.14
UBE2D2,ENSG00000131508.15
C11orf58,ENSG00000110696.9
CTSH,ENSG00000103811.15
NDUFA10,ENSG00000130414.11
SUZ12,ENSG00000178691.10
MVD,ENSG00000167508.11
MST1R,ENSG00000164078.12
ARRDC3,ENSG00000113369.8
AREG,ENSG00000109321.10
YPEL3,ENSG00000090238.11
MYDGF,ENSG00000074842.7
RBM42,ENSG00000126254.11
PRXL2B,
BAG5,ENSG00000166170.9
ARHGAP17,ENSG00000140750.16
CD68,ENSG00000129226.13
OXA1L,ENSG00000155463.12
SELENOK,ENSG00000113811.10
ANKHD1,ENSG00000131503.20
IFRD2,ENSG00000214706.10
SHB,ENSG00000107338.9
SRM,ENSG00000116649.9
KDM1A,ENSG00000004487.15
BOD1,ENSG00000145919.10
MYO1C,ENSG00000197879.14
CNIH1,ENSG00000100528.11
HERPUD1,ENSG00000051108.14
OPTN,ENSG00000123240.16
CDC20,ENSG00000117399.13
WDFY1,ENSG00000085449.14
CCNY,ENSG00000108100.17
GTPBP1,ENSG00000100226.15
ACBD6,ENSG00000230124.6
PPP4C,ENSG00000149923.13
LAMB1,ENSG00000091136.13
CNOT8,ENSG00000155508.13
PEX2,ENSG00000164751.14
CREBZF,ENSG00000137504.13
STX10,ENSG00000104915.14
MFSD14B,ENSG00000148110.15
TMEM265,ENSG00000281991.1
ACOT7,ENSG00000097021.19
DSC2,ENSG00000134755.14
CPNE1,ENSG00000214078.12
HEXB,ENSG00000049860.13
CSDE1,ENSG00000009307.15
LETMD1,ENSG00000050426.15
NCK2,ENSG00000071051.13
ZNF598,ENSG00000167962.13
BAX,ENSG00000087088.19
G0S2,ENSG00000123689.5
AHNAK,ENSG00000124942.13
MLLT6,ENSG00000275023.4
KTN1,ENSG00000126777.17
TMEM141,ENSG00000244187.7
MTA1,ENSG00000182979.17
IDI1,ENSG00000067064.10
PRXL2A,
UBE2B,ENSG00000119048.7
CD276,ENSG00000103855.17
DHPS,ENSG00000095059.15
MEAF6,ENSG00000163875.15
RAB21,ENSG00000080371.5
ADD3,ENSG00000148700.14
ARCN1,ENSG00000095139.13
KHDC4,
ESYT1,ENSG00000139641.12
CFB,ENSG00000243649.8
ILVBL,ENSG00000105135.15
TNS4,ENSG00000131746.12
ACTG2,ENSG00000163017.13
SMARCA5,ENSG00000153147.5
UQCRC2,ENSG00000140740.10
IGFBP4,ENSG00000141753.6
AHCYL1,ENSG00000168710.17
EPS8L2,ENSG00000177106.14
ARFGEF2,ENSG00000124198.8
SUPT16H,ENSG00000092201.9
ZNF195,ENSG00000005801.16
LTBP3,ENSG00000168056.15
FBXO7,ENSG00000100225.17
SMCHD1,ENSG00000101596.14
UFC1,ENSG00000143222.11
TMEM134,ENSG00000172663.8
PPP1R10,ENSG00000204569.9
PSMC4,ENSG00000013275.7
CLSTN1,ENSG00000171603.16
S100A13,ENSG00000189171.14
NUMB,ENSG00000133961.19
KMT2E,ENSG00000005483.20
FDX1,ENSG00000137714.2
CEBPG,ENSG00000153879.8
FBLN2,ENSG00000163520.13
FAM204A,ENSG00000165669.13
ENTPD2,ENSG00000054179.11
PRKAB1,ENSG00000111725.10
UBA1,ENSG00000130985.16
SLTM,ENSG00000137776.16
MAP2K1,ENSG00000169032.9
CORO1B,ENSG00000172725.13
SH3D19,ENSG00000109686.17
NUDT21,ENSG00000167005.13
PSMC3,ENSG00000165916.8
DNAJB11,ENSG00000090520.11
GRN,ENSG00000030582.17
KLHL24,ENSG00000114796.15
UBAP2L,ENSG00000143569.18
TTYH3,ENSG00000136295.14
MBOAT7,ENSG00000125505.16
PIM3,ENSG00000198355.4
GOLGA7,ENSG00000147533.16
ENGASE,ENSG00000167280.16
IKBKB,ENSG00000104365.13
DPP7,ENSG00000176978.13
MMP24OS,
RB1,ENSG00000139687.13
BCR,ENSG00000186716.20
YWHAB,ENSG00000166913.12
NIPSNAP2,
SEPTIN10,
PKP2,ENSG00000057294.14
MFSD11,ENSG00000092931.11
MRC2,ENSG00000011028.13
FGFRL1,ENSG00000127418.14
PRPF19,ENSG00000110107.8
DECR1,ENSG00000104325.6
ABR,ENSG00000159842.14
GOLGA3,ENSG00000090615.14
YIF1A,ENSG00000174851.15
NMRAL1,ENSG00000153406.13
TCEAL8,ENSG00000180964.16
RNASE1,ENSG00000129538.13
TADA3,ENSG00000171148.13
ENOPH1,ENSG00000145293.15
BTBD6,ENSG00000184887.13
NUDT5,ENSG00000165609.12
EIF2AK1,ENSG00000086232.12
SAMD4B,ENSG00000179134.15
MAGED1,ENSG00000179222.17
HIST1H2BH,ENSG00000275713.2
MXRA8,ENSG00000162576.16
IP6K2,ENSG00000068745.14
CDK10,ENSG00000185324.21
LRPPRC,ENSG00000138095.18
MGAT1,ENSG00000131446.16
FXR1,ENSG00000114416.17
API5,ENSG00000166181.12
NBR1,ENSG00000188554.13
EHD4,ENSG00000103966.10
KCNE3,ENSG00000175538.10
IGHA1,ENSG00000211895.4
PYCR2,ENSG00000143811.18
SNRPG,ENSG00000143977.13
TSPAN15,ENSG00000099282.9
PAM16,ENSG00000217930.7
SBNO2,ENSG00000064932.15
MCM6,ENSG00000076003.4
SUCLG2,ENSG00000172340.14
TXNDC17,ENSG00000129235.10
